Year;Readiness;Risk;NbSuicides
0;0;0;0
0;0;0;0
20;0;0;0
40;0;0;0
60;1;0;0
80;2;0;0
100;1;0;0
120;5;0;1
140;6;0;2
160;4;0;0
180;2;0;1
200;0;0;1
220;1;0;0
240;2;0;0
260;2;0;1
280;3;0;1
300;6;0;2
320;4;0;3
340;5;0;0
360;4;0;0
380;3;0;2
400;3;0;1
420;3;0;2
440;2;0;3
460;1;0;0
480;1;0;0
500;3;0;1
520;3;0;3
540;2;0;1
560;4;0;1
580;7;0;4
600;9;1;0
620;9;0;2
640;8;0;2
660;9;0;0
680;8;0;4
700;3;0;1
720;3;0;2
740;4;0;3
760;5;0;1
780;5;0;1
800;9;0;1
820;6;0;1
840;10;1;0
860;11;1;3
880;16;1;1
900;13;1;2
920;13;1;2
940;13;1;1
960;12;1;1
980;12;1;1
1000;10;1;3
1020;8;0;2
1040;10;1;0
1060;15;1;3
1080;20;1;1
1100;20;2;2
1120;19;2;3
1140;23;2;6
1160;26;2;5
1180;26;2;5
1200;29;2;3
1220;21;2;2
1240;20;1;3
1260;19;1;5
1280;18;1;2
1300;19;2;3
1320;20;1;1
1340;19;1;3
1360;17;1;3
1380;15;1;2
1400;16;1;1
1420;18;1;1
1440;18;1;1
1460;16;1;0
1480;17;1;0
1500;18;1;3
1520;17;1;4
1540;17;1;1
1560;17;1;2
1580;16;1;1
1600;20;2;5
1620;20;2;7
1640;19;2;4
1660;19;1;1
1680;17;1;2
1700;16;1;0
1720;18;1;2
1740;19;1;1
1760;18;1;4
1780;19;1;4
1800;19;1;2
1820;20;2;2
1840;22;2;3
1860;22;2;1
1880;26;2;2
1900;22;1;3
1920;21;1;1
1940;19;2;3
1960;15;1;1
1980;14;1;1
2000;15;1;4
2020;14;1;1
2040;17;1;1
2060;19;1;1
2080;18;1;2
2100;19;2;2
2120;18;1;1
2140;23;2;1
2160;24;2;1
2180;19;1;2
2200;18;1;0
2220;17;1;1
2240;16;1;1
2260;18;1;3
2280;18;1;1
2300;21;2;3
2320;17;2;3
2340;16;1;1
2360;17;1;3
2380;19;2;2
2400;17;1;1
2420;18;1;3
2440;17;1;1
2460;19;2;3
2480;19;1;1
2500;16;1;2
2520;14;1;3
2540;16;1;2
2560;17;1;4
2580;18;1;4
2600;13;1;2
2620;13;1;1
2640;11;1;2
2660;14;1;2
2680;17;1;3
2700;15;1;2
2720;19;2;1
2740;20;2;1
2760;26;2;3
2780;25;2;2
2800;29;3;2
2820;31;3;3
2840;26;3;2
2860;26;2;2
2880;22;2;3
2900;23;2;1
2920;24;2;4
2940;22;2;1
2960;17;1;4
2980;16;1;1
3000;16;1;2
3020;18;1;2
3040;20;1;2
3060;19;2;3
3080;16;1;1
3100;13;1;1
3120;13;1;2
3140;17;1;1
3160;12;1;2
3180;8;0;2
3200;7;0;2
3220;7;0;1
3240;9;1;1
3260;7;0;2
3280;8;0;2
3300;8;0;1
3320;9;0;2
3340;7;0;0
3360;10;1;0
3380;10;0;3
3400;11;1;2
3420;10;0;0
3440;11;1;3
3460;11;1;1
3480;13;1;5
3500;12;1;3
3520;14;1;2
3540;11;1;1
3560;9;0;0
3580;8;0;2
3600;8;0;2
3620;10;1;1
3640;9;0;1
3660;13;1;1
3680;11;1;4
3700;11;1;2
3720;10;1;2
3740;10;0;2
3760;10;1;3
3780;10;0;3
3800;11;1;1
3820;10;1;1
3840;10;1;3
3860;8;0;0
3880;6;0;0
3900;5;0;0
3920;6;0;0
3940;6;0;3
3960;8;0;2
3980;7;0;2
4000;6;0;1
4020;8;0;3
4040;9;0;4
4060;9;1;2
4080;8;0;1
4100;6;0;3
4120;3;0;1
4140;3;0;1
4160;3;0;1
4180;3;0;2
4200;2;0;1
4220;2;0;4
4240;1;0;0
4260;3;0;2
4280;4;0;0
4300;5;0;1
4320;6;0;3
4340;2;0;0
4360;4;0;0
4380;6;0;2
4400;11;1;2
4420;10;1;5
4440;8;0;2
4460;10;1;1
4480;9;0;2
4500;11;1;3
4520;12;1;2
4540;10;1;1
4560;16;1;0
4580;21;2;3
4600;21;1;1
4620;21;2;1
4640;21;2;3
4660;20;2;2
4680;23;2;5
4700;18;1;1
4720;17;1;4
4740;19;2;2
4760;13;1;1
4780;12;1;1
4800;12;1;3
4820;14;1;0
4840;12;1;2
4860;12;1;3
4880;13;1;3
4900;16;1;2
4920;17;1;2
4940;15;1;4
4960;13;1;1
4980;15;1;3
5000;15;1;1
5020;14;1;2
5040;13;1;4
5060;14;1;3
5080;15;1;1
5100;12;1;0
5120;12;1;2
5140;14;1;2
5160;13;1;2
5180;14;1;1
5200;15;1;0
5220;13;1;1
5240;11;1;2
5260;12;1;3
5280;14;1;0
5300;16;1;1
5320;18;1;1
5340;17;1;5
5360;17;1;1
5380;15;1;2
5400;13;1;3
5420;12;1;2
5440;13;1;2
5460;15;1;2
5480;17;1;2
5500;16;1;0
5520;14;1;1
5540;18;1;2
5560;14;1;1
5580;21;2;1
5600;21;2;2
5620;18;1;3
5640;23;2;2
