Year;Readiness
0;0
0;46
20;51
40;49
60;52
80;50
100;51
120;49
140;47
160;48
180;45
200;48
220;44
240;43
260;44
280;44
300;44
320;45
340;47
360;47
380;52
400;56
420;52
440;47
460;48
480;46
500;43
520;45
540;50
560;50
580;47
600;56
620;59
640;62
660;65
680;68
700;67
720;64
740;62
760;63
780;64
800;66
820;67
840;68
860;69
880;70
900;67
920;67
940;69
960;70
980;72
1000;71
1020;73
1040;73
1060;75
1080;79
1100;83
1120;77
1140;79
1160;77
1180;78
1200;78
1220;81
1240;81
1260;80
1280;78
1300;78
1320;79
1340;79
1347;79
1360;79
1380;77
1400;79
1420;80
1440;80
1460;77
1480;80
1500;82
1520;85
1540;84
1542;84
1560;84
1580;82
1600;83
1620;83
1640;83
1660;85
1680;86
1700;87
1720;85
1740;86
1760;85
1780;83
1800;83
1820;83
1840;82
1860;82
1880;82
1900;84
1920;82
1940;83
1960;83
1980;83
2000;84
2020;82
2040;80
2060;79
2067;79
2080;83
2100;84
2120;83
2140;83
2160;84
2180;83
2200;83
2220;83
2240;83
2260;83
2280;84
2300;83
2320;83
2340;84
2360;83
2380;84
2400;84
2420;84
2440;84
2460;83
2480;84
2500;84
2520;83
2540;83
2560;83
2580;83
2600;82
2620;82
2640;83
2660;83
2680;83
2700;83
2720;82
2740;81
2760;82
2780;82
2800;81
2820;82
2840;83
2860;83
2880;83
2900;82
2920;83
2940;81
2960;81
2980;82
3000;82
3020;84
3040;83
3060;83
3080;83
3100;84
3120;84
3140;84
3160;83
3180;84
3200;82
3220;84
3240;84
3260;85
3280;84
3300;85
3303;85
3320;84
3340;82
3360;83
3380;82
3400;81
3420;80
3440;79
3460;81
3480;81
3500;81
3520;80
3540;81
3560;80
3580;81
3600;81
3620;82
3640;82
3660;83
3680;83
3700;85
3720;87
3740;86
3760;85
3780;86
3800;86
3820;83
3840;83
3860;84
3880;84
3900;84
3920;82
3940;81
3960;84
3980;83
4000;80
4020;81
4040;80
4060;81
4080;80
4100;79
4200;81
4320;82
4410;79
4500;79
4590;80
4680;84
4770;85
4860;84
4950;86
5040;86
5130;85
5220;84
5310;88
5400;87
5490;86
5580;87
5670;86
5760;83
5850;84
5940;81
6000;82
6001;82
6030;83
6120;84
6210;80
6300;74
6390;77
6480;76
6570;78
6660;78
6750;76
6840;80
6930;75
7020;75
7110;74
7200;69
7290;60
7380;67
7470;74
7560;81
7650;84
7740;85
7830;87
7920;83
8010;81
8100;80
8190;78
8800;85
9000;80
9200;86
9400;86
9600;84
9800;84
10000;87
10200;82
10400;85
10600;83
10800;84
11000;69
11200;63
11400;47
11600;66
11800;66
12000;75
12200;69
12400;73
12600;66
12800;65
13000;68
13200;63
13400;64
13600;58
13800;42
14000;37
14158;50
